Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,,,,,,
Bitters,Angostura,16oz,2,Southern,Bar,Mon,0.5,No,$25.32,,$1.58,,,,,,,,,,,,,,,,
Bitters,Orange Bitters 4oz,Angostura,10,Southern,Bar,"Tues, Thur",0.1,No,$11.57,,$2.89,,,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,2,Southern,Dry Storage,Mon,1,No,$33.33,$200.00,,,,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,2,Southern,Dry Storage,Mon,4,Yes,$86.25,$345.00,,,,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,,Southern,Dry Storage,Mon,0,No,$40.00,$240.00,,,,,,,,,,,,,,,,,
Mixers,Ginger Beer,Gosling's,0,Southern,Dry Storage,Mon,2,Yes,$6.69,$26.75,$0.09,,,,,,,,,,,,,,,,
Mixers,Agave Nectar,Tres Agave 1L,7,Southern,Bar,Mon,3,No,$12.00,$144.00,$0.35,,,,,,,,,,,,,,,,
Red Wine,Real Sangria,,14,Southern,Walk-In,Mon,24,Yes,$6.75,$81.00,$0.27,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Seaglass,0,Southern,Wine Wall,Mon,8,Yes,$10.00,$120.00,$0.39,,,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Banshee,0,Southern,Wine Wall,Mon,6,Yes,$14.00,$84.00,$0.55,,,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Davis Bynum,0,Southern,Wine Wall,Mon,4,Yes,$16.00,$96.00,$0.63,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Caymus,19,Southern,Wine Wall,Mon,6,No,$25.00,$300.00,$0.99,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Harvey & Harriet,8,Southern,Wine Wall,Mon,4,No,,,,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Prisoner,6,Southern,Wine Wall,Mon,6,No,$25.00,$300.00,$0.99,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Charles Krug,12,Southern,Wine Wall,Mon,4,No,,,,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Palisades,,Southern,Wine Wall,Mon,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Sweet Vermouth,Tribuno,10,Southern,Bar,Mon,6,No,$12.79,,$0.38,,,,,,,,,,,,,,,,
Spirits,Jose Cuervo,,4,Southern,Bar,Mon,4,No,$13.50,$162.00,$0.40,,,,,,,,,,,,,,,,
Spirits,Bacardi Superior,,15,Southern,Bar,Mon,2,No,$19.33,$232.00,$0.57,,,,,,,,,,,,,,,,
Spirits,Evan Williams,,,Southern,Bar,Mon,6,Yes,$19.51,,$0.58,,,,,,,,,,,,,,,,
Spirits,Espresso Liqueur,Luxardo,,Southern,Bar,Mon,12,Yes,$16.50,$198.00,$0.65,,,,,,,,,,,,,,,,
Spirits,Absolut,,,Southern,Bar,Mon,12,Yes,$23.50,$141.00,$0.69,,,,,,,,,,,,,,,,
Spirits,Blanco,Lunazul,,Southern,Bar,Mon,6,Yes,$26.29,,$0.78,,,,,,,,,,,,,,,,
Spirits,Reposado,Lunazul,,Southern,Bar,Mon,4,Yes,$26.29,,$0.78,,,,,,,,,,,,,,,,
Spirits,Blanc,Lillet,,Southern,Bar,Mon,0.1,Yes,$20.59,,$0.81,,,,,,,,,,,,,,,,
Spirits,Licor 43,,,Southern,Bar,Mon,6,Yes,$28.75,$345.02,$0.85,,,,,,,,,,,,,,,,
Spirits,Beefeater,,,Southern,Bar,"Mon, Thur",4,Yes,$30.29,,$0.90,,,,,,,,,,,,,,,,
Spirits,Rittenhouse,,,Southern,Bar,Mon,1,Yes,$24.62,,$0.97,,,,,,,,,,,,,,,,
Spirits,Sapphire,Bombay,,Southern,Bar,Mon,1,Yes,$35.09,,$1.04,,,,,,,,,,,,,,,,
Spirits,Campari,,,Southern,Bar,Mon,1,Yes,$38.04,,$1.12,,,,,,,,,,,,,,,,
Spirits,Elijah Craig,,,Southern,Bar,Mon,0.5,Yes,$39.28,,$1.16,,,,,,,,,,,,,,,,
