Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,2.5,Breakthru,Back Bar,Tue,3,Yes,,,,,,,,,,,,,,,,,,,
Bitters,Angostura,16oz,4,Southern,Bar,Mon,0.5,No,25.32,,1.5825,,,,,,,,,,,,,,,,
Bitters,Orange Bitters,Reagan's,0,,,,0,No,,,,,,,,,,,,,,,,,,,
Garnish,Olives,,2,Chef's Warehouse,Kitchen,"Mon, Thur",2,No,,,,,,,,,,,,,,,,,,,
Garnish,Lemon,,1,Chef's Warehouse,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,,,,,,
Garnish,Strawberries,,2,Chef's Warehouse,Walk-in,"Mon, Thur",4,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Apples,,1.2,Chef's Warehouse,Walk-in,"Mon, Thur",0.5,No,,,,,,,,,,,,,,,,,,,
Garnish,Lime,,0.5,Chef's Warehouse,Walk-in,"Mon, Thur",1,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Orange,,1,Chef's Warehouse,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,686,,,,,
Garnish,Rosemary,,1,Chef's Warehouse,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,,,,,,
Garnish,Pineapple,,0,Chef's Warehouse,Walk-in,"Mon, Thur",3,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,4,Southern,Dry Storage,Mon,0.5,No,33.33333333,200,,,,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,2,Southern,Dry Storage,Mon,0.25,No,86.25,345,,,,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,0,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,Yes,0.65,65,,,,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,0,Breakthru,Dry Storage,Wed,3,Yes,,,,,,,,,,,,,,,,,,,
Juice,Cranberry Juice,Ocean Spray,4,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,,,,,,
Juice,Grapefruit Juice,Ocean Spray,10,Chef's Warehouse,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,1,Chef's Warehouse,Dry Storage,"Mon, Thur",4,Yes,,,,,,,,,,,,,,,,,,,
Juice,Orange Juice,,2,Chef's Warehouse,Walk-in,"Mon, Thur",4,Yes,,,,,,,,,,,,,,,,,,,
Juice,Lime Juice,,13,Chef's Warehouse,Walk-in,"Mon, Thur",6,No,,,,,,,,,,,,,,,,,,,
Juice,Lemon Juice,,1,Chef's Warehouse,Walk-in,"Mon, Thur",6,Yes,,,,,,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,0,Southern,Dry Storage,Mon,0,No,40,240,,,,,,,,,,,,,,,,,
Keg,Miller Lite,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Keg,Summer Shandy,,0,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,w)R~vu;jyuQ3dOzWaP1$,,,,,,,,
Keg,Truly,,2,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Keg,Modelo,,0,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,,,,,,,,,
Keg,Blue Moon,,2,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Keg,Krombacher,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Keg,Guiness,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Keg ,Lagunitas IPA,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,,,,,,
Mixers,Grenadine,Rose's,17,Breakthru,Dry Storage,Tue,4,No,,,,,,,,,,,,,,,,,,,
Mixers,Red Bull,,0,Breakthru,Dry Storage,Wed,12,Yes,,,,,,,,,,,,,,,,,,,
Mixers,Sugar Free Red Bull,,0,Breakthru,Dry Storage,Wed,12,Yes,,,,,,,,,,,,,,,,,,,
Mixers,Bloody Mary,ZingZang,5,Chef's Warehouse,Dry Storage,Tue,6,Yes,,,,,,,,,,,,,,,,,,,
Mixers,Tonic Water,,0,Chef's Warehouse,Bar,"Mon, Thur",1,Yes,,,,,,,,,,,,,,,,,,,
