Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,,,,,,
Bitters,Angostura,16oz,2.5,Southern,Bar,Mon,0.5,No,$25.32,,$1.58,,,,,,,,,,,,,,,,
Bitters,Orange Bitters 4oz,Angostura,1,Southern,Bar,"Tues, Thur",0.1,No,$11.57,,$2.89,,,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,5,Southern,Dry Storage,Mon,0.5,No,$33.33,$200.00,,,,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,11,Southern,Dry Storage,Mon,0.25,No,$86.25,$345.00,,,,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,,Southern,Dry Storage,Mon,0,No,$40.00,$240.00,,,,,,,,,,,,,,,,,
Mixers,Ginger Beer,Gosling's,0.75,Southern,Dry Storage,Mon,1,Yes,$6.69,$26.75,$0.09,,,,,,,,,,,,,,,,
Mixers,Agave Nectar,Tres Agave 1L,8,Southern,Bar,Mon,3,No,$12.00,$144.00,$0.35,,,,,,,,,,,,,,,,
Red Wine,Real Sangria,,19,Southern,Walk-In,Mon,24,Yes,$6.75,$81.00,$0.27,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Seaglass,9,Southern,Wine Wall,Mon,8,No,$10.00,$120.00,$0.39,,,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Banshee,1,Southern,Wine Wall,Mon,6,Yes,$14.00,$84.00,$0.55,,,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Davis Bynum,2,Southern,Wine Wall,Mon,4,Yes,$16.00,$96.00,$0.63,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Caymus,13,Southern,Wine Wall,Mon,6,No,$25.00,$300.00,$0.99,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Harvey & Harriet,11,Southern,Wine Wall,Mon,4,No,,,,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Prisoner,12,Southern,Wine Wall,Mon,6,No,$25.00,$300.00,$0.99,,,,,,,,,,,,,,,,
Red Wine,Cabernet,Charles Krug,9,Southern,Wine Wall,Mon,4,No,,,,,,,,,,,,,,,,,,,
Red Wine,Red Blend,Palisades,,Southern,Wine Wall,Mon,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Sweet Vermouth,Tribuno,2.3,Southern,Bar,Mon,2,No,$12.79,,$0.38,,,,,,,,,,,,,,,,
Spirits,Jose Cuervo,,6,Southern,Bar,Mon,4,No,$13.50,$162.00,$0.40,,,,,,,,,,,,,,,,
Spirits,Bacardi Superior,,3.6,Southern,Bar,Mon,6,Yes,$19.33,$232.00,$0.57,,,,,,,,,,,,,,,,
Spirits,Evan Williams,,3,Southern,Bar,Mon,6,Yes,$19.51,,$0.58,,,,,,,,,,,,,,,,
Spirits,Espresso Liqueur,Luxardo,6.8,Southern,Bar,Mon,12,Yes,$16.50,$198.00,$0.65,,,,,,,,,,,,,,,,
Spirits,Absolut,,4.4,Southern,Bar,Mon,12,Yes,$23.50,$141.00,$0.69,,,,,,,,,,,,,,,,
Spirits,Blanco,Lunazul,2.4,Southern,Bar,Mon,6,Yes,$26.29,,$0.78,,,,,,,,,,,,,,,,
Spirits,Reposado,Lunazul,3.8,Southern,Bar,Mon,2,No,$26.29,,$0.78,,,,,,,,,,,,,,,,
Spirits,Blanc,Lillet,0.8,Southern,Bar,Mon,0.1,No,$20.59,,$0.81,,,,,,,,,,,,,,,,
Spirits,Licor 43,,5.3,Southern,Bar,Mon,6,Yes,$28.75,$345.02,$0.85,,,,,,,,,,,,,,,,
Spirits,Beefeater,,1.3,Southern,Bar,"Mon, Thur",6,Yes,$30.29,,$0.90,,,,,,,,,,,,,,,,
Spirits,Rittenhouse,,1.3,Southern,Bar,Mon,1,No,$24.62,,$0.97,,,,,,,,,,,,,,,,
Spirits,Sapphire,Bombay,1.9,Southern,Bar,Mon,1,No,$35.09,,$1.04,,,,,,,,,,,,,,,,
Spirits,Campari,,1.1,Southern,Bar,Mon,1,No,$38.04,,$1.12,,,,,,,,,,,,,,,,
Spirits,Elijah Craig,,0.6,Southern,Bar,Mon,0.5,No,$39.28,,$1.16,,,,,,,,,,,,,,,,
Spirits,Anejo,Lunazul,3.1,Southern,Bar,Mon,6,Yes,$29.71,,$1.17,,,,,,,,,,,,,,,,
Spirits,Maker's Mark,,0.1,Southern,Bar,Mon,1,Yes,$40.12,,$1.19,,,,,,,,,,,,,,,,
Spirits,Jameson,,0,Southern,Bar,Mon,1,Yes,$40.54,,$1.20,,,,,,,,,,,,,,,,
Spirits,Aperol,,4.7,Southern,Bar,Mon,6,Yes,$42.04,,$1.24,,,,,,,,,,,,,,,,
Spirits,Grey Goose,,2.9,Southern,Bar,Mon,3,Yes,$43.87,,$1.30,,,,,,,,,,,,,,,,
Spirits,St. Germain,,7.2,Southern,Bar,Mon,12,Yes,$33.00,$198.00,$1.30,,,,,,,,,,,,,,,,
Spirits,Luxardo Maraschino Liqueur,,3.4,Southern,Bar,Mon,4,Yes,$36.04,,$1.42,,,,,,,,,,,,,,,,
Spirits,Basil Hayden,,5,Southern,Bar,Mon,0.5,No,$50.00,,$1.48,,,,,,,,,,,,,,,,
Spirits,Vida,Del Maguey,1.8,Southern,Bar,Mon,6,Yes,$39.00,$234.00,$1.54,,,,,,,,,,,,,,,,
Spirits,Barrel Finished Gin,Rabbit Hole,2.5,Southern,Bar,Mon,4,Yes,$42.79,,$1.69,,,,,,,,,,,,,,,,
Spirits,Bourbon,Angel's Envy,0.9,Southern,Bar,Mon,1,Yes,$43.29,,$1.71,,,,,,,,,,,,,,,,
Spirits,Fontbonne,,4.6,Southern,Bar,Mon,4,No,$46.15,,$1.82,,,,,,,,,,,,,,,,
Spirits,Nonino,,0.3,Southern,Bar,Mon,0.1,No,$49.46,,$1.95,,,,,,,,,,,,,,,,
Spirits,Monkey 47,,0.8,Southern,Bar,Mon,0.5,No,$73.54,,$2.17,,,,,,,,,,,,,,,,
Spirits,Rye,Angel's Envy,0.8,Southern,Bar,Mon,0.5,No,$76.71,,$2.27,,,,,,,,,,,,,,,,
Spirits,Grand Marnier,,0.8,Southern,Bar,Mon,0.1,No,,,,,,,,,,,,,,,,,,,
Spirits,400 Conejos,,1.5,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,Dry Vermouth,Foro,4,Southern,Bar,Mon,2,No,$9.13,,$0.27,,,,,,,,,,,,,,,,
Spirits,Rouge,Lillet,0.9,Southern,Bar,Mon,0,No,,,,,,,,,,,,,,,,,,,
Spirits,12,The Glenlivet,0.4,Southern,Bar,Mon,0.1,No,,,,,,,,,,,,,,,,,,,
Spirits,Yellow,Chartruese,0,Southern,Bar,,0.1,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Reposado,Clase Azul,0.4,Southern,Bar,,0.2,No,,,,,,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,3.2,Breakthru,Back Bar,Tue,3,No,$13.09,,$2.62,,,,,,,,,,,,,,,,
Garnish,Olives,,0,Sysco,Kitchen,Wed,2,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Lemon,,0.5,Sysco,Walk-in,Wed,1,Yes,$0.35,$48.73,,,,,,,,,,,,,,,,,
Garnish,Strawberries,,2,Sysco,Walk-in,Wed,4,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Apples,,0.5,Sysco,Walk-in,Wed,0.5,No,,,,,,,,,,,,,,,,,,,
Garnish,Lime,,1.5,Sysco,Walk-in,Wed,1,No,$0.46,$79.22,,,,,,,,,,,,,,,,,
Garnish,Orange,,0,Sysco,Walk-in,Wed,1,Yes,,,,,,,,,,,,,,686,,,,,
Garnish,Rosemary,,1,Sysco,Walk-in,Wed,1,No,$9.73,$9.73,,,,,,,,,,,,,,,,,
Garnish,Pineapple,,0,Sysco,Walk-in,Wed,3,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Knob Creek,,1.4,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,,,,,,
Spirits,14 Caribbean Cask,The Glenlivet,0.3,Southern,Bar,Mon,0.1,No,,,,,,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,2,Breakthru,Dry Storage,Wed,3,Yes,$8.29,,$0.25,,,,,,,,,,,,,,,,
Mixers,Grenadine,Rose's,15,Breakthru,Dry Storage,Tue,4,No,,,,,,,,,,,,,,,,,,,
