Category,Item Name,Brand Name,Vendor,Stock Location,Order Days,Par,In Stock, Reorder?,,,,,,,,,,,,,,
Spirits,Reposado,Casamigos,Breakthru,Bar,Tue,2,4,No,,,,,,,,,,,,,,
Spirits,Tanqueray,,Breakthru,Bar,Tue,1,1.8,No,,,,,,,,,,,,,,
Spirits,Jack Daniels,,Breakthru,Bar,Tue,2,3.5,No,,,,,,,,,,,,,,
Spirits,Fernet Branca,,Breakthru,Bar,Tue,1,1.7,No,,,,,,,,,,,,,,
Spirits,Tullermore Dew,,Breakthru,Bar,Tue,0.5,0.7,No,,,,,,,,,,,,,,
Spirits,Woodford Reserve,,Breakthru,Bar,Tue,0.5,0.4,Yes,,,,,,,,,,,,,,
Spirits,Disaronno,,Breakthru,Bar,Tue,0,0.8,No,,,,,,,,,,,,,,
Spirits,Reposado,Don Julio,Breakthru,Bar,Tue,1,1.2,No,,,,,,,,,,,,,,
Spirits,Blanco,Don Julio,Breakthru,Bar,Tue,2,2.5,No,,,,,,,,,,,,,,
Spirits,1942,Don Julio,Breakthru,Bar,Tue,0.5,0.5,No,,,,,,,,,,,,,,
Spirits,Crown Royal,,Breakthru,Bar,Tue,0.5,0.6,No,,,,,,,,,,,,,,
Spirits,Black Label,Johnnie Walker,Breakthru,Bar,Tue,0.5,0.8,No,,,,,,,,,,,,,,
Spirits,14 Caribbean Cask,The Balvenie,Breakthru,Bar,Tue,0.5,0.8,No,,,,,,,,,,,,,,
Spirits,Hendrick's,,Breakthru,Bar,Tue,2,2.1,No,,,,,,,,,,,,,,
Spirits,Kaiyo,,Breakthru,Bar,Tue,0.5,5,No,,,,,,,,,,,,,,
Spirits,Triple Sec,Mr. Boston,Breakthru,Bar,Tue,3,1.6,Yes,,,,,,,,,,,,,,
Spirits,Spiced,Captain Morgan,Breakthru,Bar,Tue,0.5,0.3,Yes,,,,,,,,,,,,,,
Spirits,Tito's,,Breakthru,Bar,Tue,6,8.8,No,,,,,,,,,,,,,,
Spirits,Ketel One,,Breakthru,Bar,Tue,2,0.6,Yes,,,,,,,,,,,,,,
Spirits,Meyer's Rum,,Breakthru,Bar,Tue,1,0,Yes,,,,,,,,,,,,,,
Spirits,Bailey's,,Breakthru,Bar,Tue,0,0.8,No,,,,,,,,,,,,,,
Spirits,Chambord,,Breakthru,,Tue,0.2,1,No,,,,,,,,,,,,,,
Spirits,Rumple Minze,,Breakthru,,Tue,0.5,1.2,No,,,,,,,,,,,,,,
Spirits,Real De Valle,,Maverick,Bar,,0,0,No,,,,,,,,,,,,,,
Spirits,Cranberry Gin,Koval,RNDC,Bar,Thur,6,1.4,Yes,,,,,,,,,,,,,,
Spirits,Barrel Gin,Koval,RNDC,Bar,Thur,6,9.1,No,,,,,,,,,,,,,,
Spirits,Coffee Liqueur,Koval,RNDC,Bar,Thur,6,1,Yes,,,,,,,,,,,,,,
Spirits,Broker's Gin,,RNDC,Bar,Thur,3,5.6,No,,,,,,,,,,,,,,
Spirits,Flor De Cana,,RNDC,Bar,Thur,12,1,Yes,,,,,,,,,,,,,,
Spirits,Bourbon,Four Roses,RNDC,Bar,Thur,6,12,No,,,,,,,,,,,,,,
Spirits,Single Barrel Select,Four Roses,RNDC,Bar,Thur,0.5,7,No,,,,,,,,,,,,,,
Spirits,Small Batch,Four Roses,RNDC,Bar,Thur,0.5,0.8,No,,,,,,,,,,,,,,
Spirits,Single Barrel,Four Roses,RNDC,Bar,Thur,0.5,0.8,No,,,,,,,,,,,,,,
Spirits,Lalo Tequila,,RNDC,Bar,Thur,0.5,4,No,,,,,,,,,,,,,,
Spirits,Macallan 12,,RNDC,Bar,Thur,0.5,0.9,No,,,,,,,,,,,,,,
Spirits,Macallan 18,,RNDC,Bar,Thur,0.5,0.7,No,,,,,,,,,,,,,,
Spirits,Brugal 1888,,RNDC,Bar,Thur,0.5,2.7,No,,,,,,,,,,,,,,
Spirits,Absolut,,Southern,Bar,Mon,6,10,No,,,,,,,,,,,,,,
Spirits,Grey Goose,,Southern,Bar,Mon,3,3.4,No,,,,,,,,,,,,,,
Spirits,Sapphire,Bombay,Southern,Bar,Mon,1,2,No,,,,,,,,,,,,,,
Spirits,Anejo,Lunazul,Southern,Bar,Mon,6,8.1,No,,,,,,,,,,,,,,
