Category,Item Name,Brand Name,Vendor,Stock Location,Order Days,Par,In Stock, Reorder?,,,,,,,,,,,,,,
Bitters,Cherry Bark Vanilla Bitters,Bittercube,Amazon,Bar,,0,0,No,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,Breakthru,Back Bar,Tue,3,5.5,No,,,,,,,,,,,,,,
Bitters,Angostura,16oz,Southern,Bar,Mon,0.5,3,No,,,,,,,,,,,,,,
Bitters,Orange Bitters,Reagan's,,,,0,0,No,,,,,,,,,,,,,,
Garnish,Olives,,Performance,Kitchen,"Mon, Thur",2,3.4,No,,,,,,,,,,,,,,
Garnish,Lemon,,Performance,Walk-in,"Mon, Thur",1,0.25,Yes,,,,,,,,,,,,,,
Garnish,Strawberries,,Performance,Walk-in,"Mon, Thur",4,2,Yes,,,,,,,,,,,,,,
Garnish,Apples,,Performance,Walk-in,"Mon, Thur",0.5,0.25,Yes,,,,,,,,,,,,,,
Garnish,Lime,,Performance,Walk-in,"Mon, Thur",1,0.5,Yes,,,,,,,,,,,,,,
Garnish,Orange,,Performance,Walk-in,"Mon, Thur",2,0.5,Yes,,,,,,,,,,,,,,686
Garnish,Rosemary,,Performance,Walk-in,"Mon, Thur",2,1,Yes,,,,,,,,,,,,,,
Garnish,Pineapple,,Performance,Walk-in,"Mon, Thur",3,5,No,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,Southern,Dry Storage,Mon,0.25,2,No,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,Southern,Dry Storage,Mon,0.25,2,No,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,65,Yes,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,Breakthru,Dry Storage,Tue,6,3,Yes,,,,,,,,,,,,,,
Juice,Cranberry Juice,Ocean Spray,Performance,Dry Storage,"Mon, Thur",4,10,No,,,,,,,,,,,,,,
Juice,Grapefruit Juice,Ocean Spray,Performance,Dry Storage,"Mon, Thur",4,6,No,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,Performance,Dry Storage,"Mon, Thur",4,6,No,,,,,,,,,,,,,,
Juice,Orange Juice,,Performance,Walk-in,"Mon, Thur",4,2,Yes,,,,,,,,,,,,,,
