Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Spirits,400 Conejos,,,Southern,Bar,Mon,8,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Dry Vermouth,Foro,,Southern,Bar,Mon,2,Yes,$9.13,,$0.27,,,,,,,,,,,,,,,,
Spirits,Rouge,Lillet,,Southern,Bar,Mon,0,No,,,,,,,,,,,,,,,,,,,
Spirits,12,The Glenlivet,,Southern,Bar,Mon,0.1,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Yellow,Chartruese,,Southern,Bar,,0.1,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Reposado,Clase Azul,,Southern,Bar,,0.2,Yes,,,,,,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,,Breakthru,Back Bar,Tue,3,Yes,$13.09,,$2.62,,,,,,,,,,,,,,,,
Garnish,Olives,,,Sysco,Kitchen,Wed,2,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Lemon,,,Sysco,Walk-in,Wed,1,Yes,$0.35,$48.73,,,,,,,,,,,,,,,,,
Garnish,Strawberries,,,Sysco,Walk-in,Wed,4,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Apples,,,Sysco,Walk-in,Wed,0.5,Yes,,,,,,,,,,,,,,,,,,,
Garnish,Lime,,,Sysco,Walk-in,Wed,1,Yes,$0.46,$79.22,,,,,,,,,,,,,,,,,
Garnish,Orange,,,Sysco,Walk-in,Wed,1,Yes,,,,,,,,,,,,,,686,,,,,
Garnish,Rosemary,,,Sysco,Walk-in,Wed,1,Yes,$9.73,$9.73,,,,,,,,,,,,,,,,,
Garnish,Pineapple,,,Sysco,Walk-in,Wed,3,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Knob Creek,,,Southern,Bar,Mon,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,14 Caribbean Cask,The Glenlivet,,Southern,Bar,Mon,0.1,Yes,,,,,,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,,Breakthru,Dry Storage,Wed,3,Yes,$8.29,,$0.25,,,,,,,,,,,,,,,,
Mixers,Grenadine,Rose's,,Breakthru,Dry Storage,Tue,4,Yes,,,,,,,,,,,,,,,,,,,
Juice,Cranberry Juice,,,Sysco,Dry Storage,Wed,4,Yes,$5.12,$40.95,$0.09,,,,,,,,,,,,,,,,
Juice,Grapefruit Juice,,,Sysco,Dry Storage,Wed,4,Yes,$6.05,$48.40,$0.10,,,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,,Sysco,Dry Storage,Wed,4,Yes,$4.41,$52.90,$0.10,,,,,,,,,,,,,,,,
Juice,Orange Juice,,,Sysco,Walk-in,Wed,4,Yes,$9.65,$38.60,$0.08,,,,,,,,,,,,,,,,
Juice,Lime Juice,,,Sysco,Walk-in,Wed,2,Yes,$4.74,$75.85,$0.15,,,,,,,,,,,,,,,,
Juice,Lemon Juice,,,Sysco,Walk-in,Wed,2,Yes,$4.74,$75.85,$0.15,,,,,,,,,,,,,,,,
White Wine,Rose,Happy Hour,,Southern,Wine Wall,Mon,36,Yes,$5.00,$60.00,$0.20,,,,,,,,,,,,,,,,
Mixers,Red Bull,,,Breakthru,Dry Storage,Wed,12,Yes,$1.76,$42.25,$0.21,,,,,,,,,,,,,,,,
Mixers,Sugar Free Red Bull,,,Breakthru,Dry Storage,Wed,12,Yes,$1.76,$42.25,$0.21,,,,,,,,,,,,,,,,
Spirits,Blanco,Casamigos,,Breakthru,Bar,Tue,2,Yes,$60.67,,$1.79,,,,,,,,,,,,,,,,
Spirits,Reposado,Casamigos,,Breakthru,Bar,Tue,2,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Tanqueray,,,Breakthru,Bar,Tue,1,Yes,$35.61,,$1.05,,,,,,,,,,,,,,,,
Spirits,Jack Daniels,,,Breakthru,Bar,Tue,2,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Fernet Branca,,,Breakthru,Bar,Tue,0.1,Yes,$31.42,,$1.24,,,,,,,,,,,,,,,,
Spirits,Tullermore Dew,,,Breakthru,Bar,Tue,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Real De Valle,,,Maverick,Bar,,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Cranberry Gin,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Barrel Gin,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Coffee Liqueur,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Broker's Gin,,,RNDC,Bar,Thur,3,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Flor De Cana,,,RNDC,Bar,Thur,12,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Bourbon,Four Roses,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Single Barrel Select,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Small Batch,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Single Barrel,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Lalo Tequila,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Macallan 12,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Macallan 18,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Brugal 1888,,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Woodford Reserve,,,Breakthru,Bar,Tue,1,Yes,$57.08,,$1.69,,,,,,,,,,,,,,,,
Spirits,Disaronno,,,Breakthru,Bar,Tue,0.1,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Reposado,Don Julio,,Breakthru,Bar,Tue,1,Yes,$50.42,,$1.99,,,,,,,,,,,,,,,,
Mixers,Bloody Mary,,,Sysco,Dry Storage,Wed,6,Yes,,,,,,,,,,,,,,,,,,,
Mixers,Tonic Water,,,Sysco,Bar,Wed,1,Yes,,,,,,,,,,,,,,,,,,,
Mixers,Coke,,,Sysco,Bar,Wed,4,Yes,$0.79,$18.86,$0.07,,,,,,,,,,,,,,,,
Mixers,Diet Coke,,,Sysco,Bar,Wed,3,Yes,$0.78,$18.72,$0.07,,,,,,,,,,,,,,,,
Mixers,Sprite,,,Sysco,Bar,Wed,3,Yes,$0.74,$17.82,$0.03,,,,,,,,,,,,,,,,
Mixers,Soda Water,,,Sysco,Bar,Wed,3,Yes,$1.15,$27.55,$0.11,,,,,,,,,,,,,,,,
Mixers,Ginger Ale,,,Sysco,Bar,Wed,1,Yes,,,,,,,,,,,,,,,,,,,
Paper Goods,Bamboo Knot Picks,"4""",,Sysco,Dry Storage,Wed,3,Yes,$1.54,$30.75,,,,,,,,,,,,,,,,,
Paper Goods,Cocktail Stirrers,,,Sysco,Dry Storage,Wed,3,Yes,,,,,,,,,,,,,,,,,,,
Paper Goods,"Straws 7.75""",,,Sysco,Dry Storage,Wed,3,Yes,$20.27,$121.60,$0.04,,,,,,,,,,,,,,,,
Paper Goods,Beverage Napkins,,,Sysco,Dry Storage,Wed,4,Yes,$0.03,$29.65,,,,,,,,,,,,,,,,,
Prep,Coco Lopez,15oz,,Sysco,Dry Storage,Wed,6,Yes,,,,,,,,,,,,,,,,,,,
Prep,Turbinado Sugar,Sugar In The Raw,,Sysco,Dry Storage,Wed,4,Yes,,,,,,,,,,,,,,,,,,,
White Wine,Cava,Campo Viejo,,Southern,Wine Wall,Mon,75,Yes,$5.00,$30.00,$0.20,,,,,,,,,,,,,,,,
White Wine,Pinot Grigio,Carletto,,Southern,Wine Wall,Mon,8,Yes,$7.50,$90.00,$0.30,,,,,,,,,,,,,,,,
White Wine,Sauvignon Blanc,Rapaura Springs,,Southern,Wine Wall,Mon,12,Yes,$9.00,$54.00,$0.35,,,,,,,,,,,,,,,,
White Wine,Chardonnay,Sea Sun by Caymus,,Southern,Wine Wall,Mon,8,Yes,$9.00,$108.00,$0.35,,,,,,,,,,,,,,,,
Spirits,Blanco,Don Julio,,Breakthru,Bar,Tue,1,Yes,$60.03,,$1.78,,,,,,,,,,,,,,,,
Spirits,1942,Don Julio,,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Crown Royal,,,Breakthru,Bar,Tue,0.5,Yes,$36.95,,$1.09,,,,,,,,,,,,,,,,
Spirits,Black Label,Johnnie Walker,,Breakthru,Bar,Tue,0.5,Yes,$47.53,,$1.41,,,,,,,,,,,,,,,,
Spirits,14 Caribbean Cask,The Balvenie,,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Hendrick's,,,Breakthru,Bar,Tue,2,Yes,$47.92,,$1.42,,,,,,,,,,,,,,,,
Spirits,Kaiyo,,,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Triple Sec,Mr. Boston,,Breakthru,Bar,Wed,3,Yes,$7.66,,$0.23,,,,,,,,,,,,,,,,
Spirits,Spiced,Captain Morgan,,Breakthru,Bar,Tue,0.5,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Tito's,,,Breakthru,Bar,Wed,6,Yes,$23.25,$279.00,$0.69,,,,,,,,,,,,,,,,
Spirits,Ketel One,,,Breakthru,Bar,Wed,2,Yes,$35.73,,$1.06,,,,,,,,,,,,,,,,
Spirits,Meyer's Rum,,,Breakthru,Bar,Tue,2,Yes,$30.27,,$0.90,,,,,,,,,,,,,,,,
Spirits,Bailey's,,,Breakthru,Bar,Tue,0.5,Yes,$39.31,,$1.16,,,,,,,,,,,,,,,,
Spirits,Chambord,,,Breakthru,Bar,Tue,0.2,Yes,$31.03,,$1.31,,,,,,,,,,,,,,,,
Spirits,Rumple Minze,,,Breakthru,Bar,Tue,0.5,Yes,$35.33,,$1.04,,,,,,,,,,,,,,,,
Water,Acqua Panna,1L,,Breakthru,Water Cooler,Wed,6,Yes,$2.25,$27.00,$0.07,,,,,,,,,,,,,,,,
Water ,San Pelegrino,1L,,Breakthru,Water Cooler,Tue,6,Yes,$2.33,$28.00,$0.07,,,,,,,,,,,,,,,,
Juice,Passion Fruit,Real,,Breakthru,Dry Storage,Wed,1,Yes,$8.17,,$0.48,,,,,,,,,,,,,,,,
Juice,Guava,Real,,Breakthru,Dry Storage,Wed,1,Yes,$8.17,,$0.48,,,,,,,,,,,,,,,,
Bitters,Hell Fire,Bittermans,,Breakthru,Bar,Wed,0.5,Yes,$13.02,,$2.60,,,,,,,,,,,,,,,,
Spirits,Sour Apple,Mr. Boston,,Breakthru,Bar,Wed,0.5,Yes,$9.26,,$0.27,,,,,,,,,,,,,,,,
Spirits,Peach,Mr. Boston,,Breakthru,Bar,Wed,0.25,Yes,$9.26,,$0.27,,,,,,,,,,,,,,,,
Spirits,Creme de Violet,Giffard,,Breakthru,Bar,Wed,0.5,Yes,$35.33,,$1.39,,,,,,,,,,,,,,,,
Spirits,Montenegro,,,Breakthru,Bar,Wed,0.1,Yes,$43.75,,$1.29,,,,,,,,,,,,,,,,
White Wine,Albarino,Terras Gauda Abadia,,Southern,Wine Wall,Mon,6,Yes,$10.00,$120.00,$0.39,,,,,,,,,,,,,,,,
White Wine,Pinot Grigio,Ruffino Aqua D'Venus,,Southern,Wine Wall,Mon,4,Yes,$12.00,$144.00,$0.47,,,,,,,,,,,,,,,,
White Wine,Cremant,Gratien & Meyer,,Southern,Wine Wall,Mon,4,Yes,$14.00,$168.00,$0.55,,,,,,,,,,,,,,,,
White Wine,Prosecco,Riondo,,Southern,Wine Wall,Mon,8,Yes,$14.25,$171.00,$0.56,,,,,,,,,,,,,,,,
White Wine,Rose,Le Fete Du Rose,,Southern,Wine Wall,Mon,4,Yes,$16.00,$192.00,$0.63,,,,,,,,,,,,,,,,
White Wine,Sauvignon Blanc,Bella Union by Far Niete,,Southern,Wine Wall,Mon,4,Yes,$18.00,$216.00,$0.71,,,,,,,,,,,,,,,,
White Wine,Chardonnay,The Calling,,Southern,Wine Wall,Mon,4,Yes,$19.00,$228.00,$0.75,,,,,,,,,,,,,,,,
Spirits,Burrito Mezcal,,,Maverick,Bar,,,No,,,,,,,,,,,,,,,,,,,
Spirits,Buffalo Trace,,,Breakthru,Bar,Wed ,0.5,Yes,,,,,,,,,,,,,,,,,,,
Water,San Pelegrino,250ml,,Breakthru,Water Cooler,Tue,0,No,,,,,,,,,,,,,,,,,,,
Keg,Miller Lite,,,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,,,,,,,,,
White Wine,Brut,Nicolas Feuillete,,Southern,Wine Wall,Mon,3,Yes,$24.00,$144.00,$0.95,,,,,,,,,,,,,,,,
White Wine,Sancerre,Chateau de Sancerre,,Southern,Wine Wall,Mon,4,Yes,$24.50,$294.00,$0.97,,,,,,,,,,,,,,,,
Prep,Whole Milk,,,Sysco,Walk-In,Wed,1,Yes,$1.24,$4.95,$0.01,,,,,,,,,,,,,,,,
Prep,Heavy Cream,,,Sysco,Walk-In,Wed,3,Yes,$5.32,$85.12,$0.17,,,,,,,,,,,,,,,,
Mixers,Iced Tea,,,Sysco,Bar,Wed,0,No,,,,,,,,,,,,,,,,,,,
Keg,Summer Shandy,,,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,w)R~vu;jyuQ3dOzWaP1$,,,,,,,,
Beer,Hop Refresher,Lagunitas,,CBS,Bar,Thur,0,No,,,,,,,,,,,,,,,,,,,
