Category,Item Name,Brand Name,Vendor,Stock Location,Order Days,Par,In Stock,Reorder?
Bitters,Cherry Bark Vanilla Bitters,Bittercube,Amazon,Bar,,,,No
Juice,Peach Juice,Finest Call,Breakthru,Dry Storage,Tue,6,2,Yes
Mixers,Grenadine,Rose's,Breakthru,Dry Storage,Tue,4,20,No
Prep,Coco Lopez,15oz,Breakthru,Dry Storage,Tue,6,9,No
Mixers,Red Bull,,Breakthru,Dry Storage,Tue,12,0,Yes
Mixers,Sugar Free Red Bull,,Breakthru,Dry Storage,Tue,12,0,Yes
Bitters,Mole Bitters,Bittermans,Breakthru,Back Bar,Tue,3,1,Yes
Water,Acqua Panna,1L,Breakthru,Water Cooler,Tue,6,0,Yes
Water ,San Pelegrino,1L,Breakthru,Water Cooler,Tue,6,0,Yes
Water,San Pelegrino,250ml,Breakthru,Water Cooler,Tue,6,0,Yes
Mixers,Bloody Mary,ZingZang,Breakthru,Dry Storage,Tue,12,11,Yes
Spirits,Blanco,Casamigos,Breakthru,Bar,Tue,2,2,Yes
Spirits,Reposado,Casamigos,Breakthru,Bar,Tue,2,1.8,Yes
Spirits,Tanqueray,,Breakthru,Bar,Tue,1,0.8,Yes
Spirits,Jack Daniels,,Breakthru,Bar,Tue,2,4,No
Spirits,Fernet Branca,,Breakthru,Bar,Tue,1,0,Yes
Spirits,Tullermore Dew,,Breakthru,Bar,Tue,0.5,0.9,No
Spirits,Woodford Reserve,,Breakthru,Bar,Tue,0.5,1,No
Spirits,Disaronno,,Breakthru,Bar,Tue,0,0.8,No
Spirits,Reposado,Don Julio,Breakthru,Bar,Tue,2,0,Yes
Spirits,Blanco,Don Julio,Breakthru,Bar,Tue,2,3,No
Spirits,1942,Don Julio,Breakthru,Bar,Tue,0.5,0.7,No
Spirits,Crown Royal,,Breakthru,Bar,Tue,0.5,0.8,No
Spirits,Black Label,Johnnie Walker,Breakthru,Bar,Tue,0.5,1.4,No
Spirits,14 Caribbean Cask,The Balvenie,Breakthru,Bar,Tue,0.5,0.5,No
Spirits,Hendrick's,,Breakthru,Bar,Tue,2,1,Yes
Spirits,Kaiyo,,Breakthru,Bar,Tue,0.5,6,No
Spirits,Triple Sec,Mr. Boston,Breakthru,Bar,Tue,3,2.5,Yes
Spirits,Spiced,Captain Morgan,Breakthru,Bar,Tue,0.5,0.6,No
Spirits,Tito's,,Breakthru,Bar,Tue,3,2,Yes
Spirits,Ketel One,,Breakthru,Bar,Tue,2,0,Yes
Spirits,Meyer's Rum,,Breakthru,Bar,Tue,1,0,Yes
,Bailey's,,Breakthru,,,,,
Keg,Miller Lite,,CBS,Walk-In,Fri,,,No
Keg,Summer Shandy,,CBS,Walk-In,Fri,,,No
Keg,Truly,,CBS,Walk-In,Fri,,,No
Keg,Modelo,,CBS,Walk-In,Fri,,,No
Keg,Blue Moon,,CBS,Walk-In,Fri,,,No
Keg ,Lagunitas IPA,,CBS,Walk-In,Fri,,,No
Keg,Krombacher,,CBS,Walk-In,Fri,,,No
Keg,Guiness,,CBS,Walk-In,Fri,,,No
Ice,Double Rocks,Fat Ice,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",,,No
Spirits,Real De Valle,,Maverick,Bar,,,,No
Juice,Cranberry Juice,Ocean Spray,Performance,Dry Storage,"Mon, Thur",4,4,No
Juice,Grapefruit Juice,Ocean Spray,Performance,Dry Storage,"Mon, Thur",4,3,Yes
Juice,Pineapple Juice,Dole,Performance,Dry Storage,"Mon, Thur",4,6,No
