Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,Unit Price,Case Price,Price per Ounce,,,,,,,,,,,,,,,,o
Juice,Grapefruit Juice,Ocean Spray,2,Sysco,Dry Storage,Wed,4,Yes,$6.05,$48.40,$0.10,,,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,8,Sysco,Dry Storage,Wed,4,No,$4.41,$52.90,$0.10,,,,,,,,,,,,,,,,
Juice,Orange Juice,,3,Sysco,Walk-in,Wed,4,Yes,$9.65,$38.60,$0.08,,,,,,,,,,,,,,,,
Juice,Lime Juice,,16,Sysco,Walk-in,Wed,6,No,$4.74,$75.85,$0.15,,,,,,,,,,,,,,,,
Juice,Lemon Juice,,33,Sysco,Walk-in,Wed,6,No,$4.74,$75.85,$0.15,,,,,,,,,,,,,,,,
White Wine,Rose,Happy Hour,15,Southern,Wine Wall,Mon,24,Yes,$5.00,$60.00,$0.20,,,,,,,,,,,,,,,,
Mixers,Red Bull,,0,Breakthru,Dry Storage,Wed,12,Yes,$1.76,$42.25,$0.21,,,,,,,,,,,,,,,,
Mixers,Sugar Free Red Bull,,4,Breakthru,Dry Storage,Wed,12,Yes,$1.76,$42.25,$0.21,,,,,,,,,,,,,,,,
Spirits,Blanco,Casamigos,3.5,Breakthru,Bar,Tue,2,No,$60.67,,$1.79,,,,,,,,,,,,,,,,
Spirits,Reposado,Casamigos,2.5,Breakthru,Bar,Tue,2,No,,,,,,,,,,,,,,,,,,,
Spirits,Tanqueray,,2.8,Breakthru,Bar,Tue,1,No,$35.61,,$1.05,,,,,,,,,,,,,,,,
Spirits,Jack Daniels,,1.5,Breakthru,Bar,Tue,2,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Fernet Branca,,0.8,Breakthru,Bar,Tue,0.1,No,$31.42,,$1.24,,,,,,,,,,,,,,,,
Spirits,Tullermore Dew,,0.4,Breakthru,Bar,Tue,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Real De Valle,,,Maverick,Bar,,0,No,,,,,,,,,,,,,,,,,,,
Spirits,Cranberry Gin,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Barrel Gin,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Coffee Liqueur,Koval,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Broker's Gin,,,RNDC,Bar,Thur,3,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Flor De Cana,,,RNDC,Bar,Thur,12,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Bourbon,Four Roses,,RNDC,Bar,Thur,6,Yes,,,,,,,,,,,,,,,,,,,
Spirits,Single Barrel Select,Four Roses,,RNDC,Bar,Thur,0.5,Yes,,,,,,,,,,,,,,,,,,,
