Category,Item Name,Brand Name,Vendor,Stock Location,Order Days,Par,In Stock, Reorder?,,,,,,,,,,,,,,
Bitters,Cherry Bark Vanilla Bitters,Bittercube,Amazon,Bar,,,0,No,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,Breakthru,Back Bar,Tue,3,8,No,,,,,,,,,,,,,,
Bitters,Angostura,16oz,Southern,Bar,Mon,0.5,4.5,No,,,,,,,,,,,,,,
Bitters,Orange Bitters,Reagan's,,,,0,0,No,,,,,,,,,,,,,,
Garnish,Olives,,Performance,Kitchen,"Mon, Thur",2,2,No,,,,,,,,,,,,,,
Garnish,Lemon,,Performance,Walk-in,"Mon, Thur",1,1,No,,,,,,,,,,,,,,
Garnish,Strawberries,,Performance,Walk-in,"Mon, Thur",4,0,Yes,,,,,,,,,,,,,,
Garnish,Apples,,Performance,Walk-in,"Mon, Thur",0.5,0.5,No,,,,,,,,,,,,,,
Garnish,Lime,,Performance,Walk-in,"Mon, Thur",1,1,No,,,,,,,,,,,,,,
Garnish,Orange,,Performance,Walk-in,"Mon, Thur",2,1,Yes,,,,,,,,,,,,,,686
Garnish,Rosemary,,Performance,Walk-in,"Mon, Thur",2,0,Yes,,,,,,,,,,,,,,
Garnish,Pineapple,,Performance,Walk-in,"Mon, Thur",3,0,Yes,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,Southern,Dry Storage,Mon,0.25,3,No,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,Southern,Dry Storage,Mon,0.25,3,No,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,90,Yes,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,Breakthru,Dry Storage,Tue,6,2,Yes,,,,,,,,,,,,,,
Juice,Cranberry Juice,Ocean Spray,Performance,Dry Storage,"Mon, Thur",4,14,No,,,,,,,,,,,,,,
Juice,Grapefruit Juice,Ocean Spray,Performance,Dry Storage,"Mon, Thur",4,7,No,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,Performance,Dry Storage,"Mon, Thur",4,0,Yes,,,,,,,,,,,,,,
Juice,Orange Juice,,Performance,Walk-in,"Mon, Thur",4,7,No,,,,,,,,,,,,,,
Juice,Lime Juice,,Performance,Walk-in,"Mon, Thur",6,2,Yes,,,,,,,,,,,,,,
Juice,Lemon Juice,,Performance,Walk-in,"Mon, Thur",6,4,Yes,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,Southern,Dry Storage,Mon,0,0,No,,,,,,,,,,,,,,
Keg,Miller Lite,,CBS,Walk-In,Fri,1,1.9,No,,,,,,,,,,,,,,
Keg,Summer Shandy,,CBS,Walk-In,Fri,1,1.25,No,,,,,,,,,,,,,,
Keg,Truly,,CBS,Walk-In,Fri,1,1.3,No,,,,,,,,,,,,,,
Keg,Modelo,,CBS,Walk-In,Fri,1,0,Yes,,,,,,,,,,,,,,
Keg,Blue Moon,,CBS,Walk-In,Fri,1,1.2,No,,,,,,,,,,,,,,
Keg,Krombacher,,CBS,Walk-In,Fri,1,0.1,Yes,,,,,,,,,,,,,,
Keg,Guiness,,CBS,Walk-In,Fri,1,1.8,No,,,,,,,,,,,,,,
Keg ,Lagunitas IPA,,CBS,Walk-In,Fri,1,1.5,No,,,,,,,,,,,,,,
Mixers,Grenadine,Rose's,Breakthru,Dry Storage,Tue,4,21,No,,,,,,,,,,,,,,
Mixers,Red Bull,,Breakthru,Dry Storage,Tue,12,0,Yes,,,,,,,,,,,,,,
Mixers,Sugar Free Red Bull,,Breakthru,Dry Storage,Tue,12,12,No,,,,,,,,,,,,,,
Mixers,Bloody Mary,ZingZang,Performance,Dry Storage,Tue,12,4,Yes,,,,,,,,,,,,,,
Mixers,Tonic Water,,Performance,Bar,"Mon, Thur",1,1.75,No,,,,,,,,,,,,,,
Mixers,Coke,,Performance,Bar,"Mon, Thur",4,1,Yes,,,,,,,,,,,,,,
Mixers,Diet Coke,,Performance,Bar,"Mon, Thur",3,0,Yes,,,,,,,,,,,,,,
Mixers,Sprite,,Performance,Bar,"Mon, Thur",3,0,Yes,,,,,,,,,,,,,,
Mixers,Soda Water,,Performance,Bar,"Mon, Thur",3,0.5,Yes,,,,,,,,,,,,,,
Mixers,Ginger Ale,,Performance,Bar,"Mon, Thur",1,0,Yes,,,,,,,,,,,,,,
Mixers,Ginger Beer,Gosling's,Southern,Dry Storage,Mon,1,1,No,,,,,,,,,,,,,,
