Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,,,,,,,,,,,,,,
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,4,Breakthru,Back Bar,Tue,3,No,,,,,,,,,,,,,,
Bitters,Angostura,16oz,4,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Bitters,Orange Bitters,Reagan's,0,,,,0,No,,,,,,,,,,,,,,
Garnish,Olives,,5.5,Performance,Kitchen,"Mon, Thur",2,No,,,,,,,,,,,,,,
Garnish,Lemon,,0,Performance,Walk-in,"Mon, Thur",1,Yes,,,,,,,,,,,,,,
Garnish,Strawberries,,7,Performance,Walk-in,"Mon, Thur",4,No,,,,,,,,,,,,,,
Garnish,Apples,,1,Performance,Walk-in,"Mon, Thur",0.5,No,,,,,,,,,,,,,,
Garnish,Lime,,1.5,Performance,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,
Garnish,Orange,,1,Performance,Walk-in,"Mon, Thur",2,Yes,,,,,,,,,,,,,,686
Garnish,Rosemary,,3,Performance,Walk-in,"Mon, Thur",2,No,,,,,,,,,,,,,,
Garnish,Pineapple,,6,Performance,Walk-in,"Mon, Thur",3,No,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,2,Southern,Dry Storage,Mon,0.25,No,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,2,Southern,Dry Storage,Mon,0.25,No,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,65,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,Yes,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,2,Breakthru,Dry Storage,Tue,6,Yes,,,,,,,,,,,,,,
Juice,Cranberry Juice,Ocean Spray,8,Performance,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Juice,Grapefruit Juice,Ocean Spray,6,Performance,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,7,Performance,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
