Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,,,,,,,,,,,,,,
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,4,Breakthru,Back Bar,Tue,3,No,,,,,,,,,,,,,,
Bitters,Angostura,16oz,3,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Bitters,Orange Bitters,Reagan's,0,,,,0,No,,,,,,,,,,,,,,
Garnish,Olives,,3.5,Chef's Warehouse,Kitchen,"Mon, Thur",2,No,,,,,,,,,,,,,,
Garnish,Lemon,,1,Chef's Warehouse,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,
Garnish,Strawberries,,2,Chef's Warehouse,Walk-in,"Mon, Thur",4,Yes,,,,,,,,,,,,,,
Garnish,Apples,,4,Chef's Warehouse,Walk-in,"Mon, Thur",0.5,No,,,,,,,,,,,,,,
Garnish,Lime,,1.2,Chef's Warehouse,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,
Garnish,Orange,,1.1,Chef's Warehouse,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,686
Garnish,Rosemary,,0.5,Chef's Warehouse,Walk-in,"Mon, Thur",2,Yes,,,,,,,,,,,,,,
Garnish,Pineapple,,4,Chef's Warehouse,Walk-in,"Mon, Thur",3,No,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,0.4,Southern,Dry Storage,Mon,0.5,Yes,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,1,Southern,Dry Storage,Mon,0.25,No,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,0,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,Yes,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,0,Breakthru,Dry Storage,Wed,6,Yes,,,,,,,,,,,,,,
Juice,Cranberry Juice,Ocean Spray,2,Chef's Warehouse,Dry Storage,"Mon, Thur",4,Yes,,,,,,,,,,,,,,
