Category,Item Name,Brand Name,Vendor,Stock Location,Order Days,Par,In Stock,Reorder?
Bitters,Cherry Bark Vanilla Bitters,Bittercube,Amazon,Bar,,,,No
Juice,Peach Juice,,Breakthru,Dry Storage,Tue,,,No
Mixers,Grenadine,Rose's,Breakthru,Dry Storage,Tue,,,No
Prep,Coco Lopez,15oz,Breakthru,Dry Storage,Tue,,,No
Mixers,Red Bull,,Breakthru,Dry Storage,Tue,,,No
Mixers,Sugar Free Red Bull,,Breakthru,Dry Storage,Tue,,,No
Bitters,Mole Bitters,Bittermans,Breakthru,Back Bar,Tue,3,,Yes
Water,Acqua Panna,1L,Breakthru,Water Cooler,Tue,6,,Yes
Water ,San Pelegrino,1L,Breakthru,Water Cooler,Tue,6,,Yes
Water,San Pelegrino,250ml,Breakthru,Water Cooler,Tue,6,,Yes
Mixers,Bloody Mary,ZingZang,Breakthru,Dry Storage,Tue,12,,Yes
Spirits,Blanco,Casamigos,Breakthru,Bar,Tue,2,,Yes
Spirits,Reposado,Casamigos,Breakthru,Bar,Tue,2,,Yes
Spirits,Tanqueray,,Breakthru,Bar,Tue,1,,Yes
Spirits,Jack Daniels,,Breakthru,Bar,Tue,2,,No
Spirits,Fernet Branca,,Breakthru,Bar,Tue,1,,Yes
Spirits,Tullermore Dew,,Breakthru,Bar,Tue,0.5,,Yes
Spirits,Woodford Reserve,,Breakthru,Bar,Tue,0.5,,Yes
Spirits,Disaronno,,Breakthru,Bar,Tue,0,,No
Spirits,Reposado,Don Julio,Breakthru,Bar,Tue,2,,Yes
Spirits,Blanco,Don Julio,Breakthru,Bar,Tue,2,,Yes
Spirits,1942,Don Julio,Breakthru,Bar,Tue,0.5,,Yes
Spirits,Crown Royal,,Breakthru,Bar,Tue,0.5,,Yes
Spirits,Black Label,Johnnie Walker,Breakthru,Bar,Tue,0.5,,Yes
Spirits,14 Caribbean Cask,The Balvenie,Breakthru,Bar,Tue,0.5,,Yes
