Category,Item Name,Brand Name,In Stock,Vendor,Stock Location,Order Days,Par, Reorder?,,,,,,,,,,,,,,
Bitters,Cherry Bark Vanilla Bitters,Bittercube,0,Amazon,Bar,,0,No,,,,,,,,,,,,,,
Bitters,Mole Bitters,Bittermans,6,Breakthru,Back Bar,Tue,3,No,,,,,,,,,,,,,,
Bitters,Angostura,16oz,4,Southern,Bar,Mon,0.5,No,,,,,,,,,,,,,,
Bitters,Orange Bitters,Reagan's,0,,,,0,No,,,,,,,,,,,,,,
Garnish,Olives,,3,Performance,Kitchen,"Mon, Thur",2,No,,,,,,,,,,,,,,
Garnish,Lemon,,1,Performance,Walk-in,"Mon, Thur",1,No,,,,,,,,,,,,,,
Garnish,Strawberries,,6,Performance,Walk-in,"Mon, Thur",4,No,,,,,,,,,,,,,,
Garnish,Apples,,1,Performance,Walk-in,"Mon, Thur",0.5,No,,,,,,,,,,,,,,
Garnish,Lime,,0.75,Performance,Walk-in,"Mon, Thur",1,Yes,,,,,,,,,,,,,,
Garnish,Orange,,1.5,Performance,Walk-in,"Mon, Thur",2,Yes,,,,,,,,,,,,,,686
Garnish,Rosemary,,1,Performance,Walk-in,"Mon, Thur",2,Yes,,,,,,,,,,,,,,
Garnish,Pineapple,,7,Performance,Walk-in,"Mon, Thur",3,No,,,,,,,,,,,,,,
Garnish,Blue Cheese Olives,Filthy,1,Southern,Dry Storage,Mon,0.25,No,,,,,,,,,,,,,,
Garnish,Luxardo Cherries,1kg,2,Southern,Dry Storage,Mon,0.25,No,,,,,,,,,,,,,,
Ice,Double Rocks,Fat Ice,65,Fat Ice,Freezer,"Tue, Wed, Thur, Fri",300,Yes,,,,,,,,,,,,,,
Juice,Peach Juice,Finest Call,4,Breakthru,Dry Storage,Wed,6,Yes,,,,,,,,,,,,,,
Juice,Cranberry Juice,Ocean Spray,5,Performance,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Juice,Grapefruit Juice,Ocean Spray,5,Performance,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Juice,Pineapple Juice,Dole,1,Performance,Dry Storage,"Mon, Thur",4,Yes,,,,,,,,,,,,,,
Juice,Orange Juice,,3,Performance,Walk-in,"Mon, Thur",4,Yes,,,,,,,,,,,,,,
Juice,Lime Juice,,8,Performance,Walk-in,"Mon, Thur",6,No,,,,,,,,,,,,,,
Juice,Lemon Juice,,10,Performance,Walk-in,"Mon, Thur",6,No,,,,,,,,,,,,,,
Juice,Olive Juice,Filthy,0,Southern,Dry Storage,Mon,0,No,,,,,,,,,,,,,,
Keg,Miller Lite,,0,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,,,,
Keg,Summer Shandy,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Truly,,2,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Modelo,,0,CBS,Walk-In,Fri,1,Yes,,,,,,,,,,,,,,
Keg,Blue Moon,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Krombacher,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg,Guiness,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Keg ,Lagunitas IPA,,1,CBS,Walk-In,Fri,1,No,,,,,,,,,,,,,,
Mixers,Grenadine,Rose's,18,Breakthru,Dry Storage,Tue,4,No,,,,,,,,,,,,,,
Mixers,Red Bull,,7,Breakthru,Dry Storage,Wed,12,Yes,,,,,,,,,,,,,,
Mixers,Sugar Free Red Bull,,5,Breakthru,Dry Storage,Wed,12,Yes,,,,,,,,,,,,,,
Mixers,Bloody Mary,ZingZang,18,Performance,Dry Storage,Tue,12,No,,,,,,,,,,,,,,
Mixers,Tonic Water,,1.25,Performance,Bar,"Mon, Thur",1,No,,,,,,,,,,,,,,
Mixers,Coke,,2.5,Performance,Bar,"Mon, Thur",4,Yes,,,,,,,,,,,,,,
Mixers,Diet Coke,,2,Performance,Bar,"Mon, Thur",3,Yes,,,,,,,,,,,,,,
Mixers,Sprite,,1.5,Performance,Bar,"Mon, Thur",3,Yes,,,,,,,,,,,,,,
Mixers,Soda Water,,1,Performance,Bar,"Mon, Thur",3,Yes,,,,,,,,,,,,,,
Mixers,Ginger Ale,,1,Performance,Bar,"Mon, Thur",1,No,,,,,,,,,,,,,,
Mixers,Ginger Beer,Gosling's,0.25,Southern,Dry Storage,Mon,1,Yes,,,,,,,,,,,,,,
Mixers,Agave Nectar,Tres Agave 750ml,15,Southern,Bar,Mon,3,No,,,,,,,,,,,,,,
Mixers,Green River,,,,,,,No,,,,,,,,,,,,,,
Paper Goods,Bamboo Knot Picks,"4""",7,Performance,Dry Storage,"Mon, Thur",3,No,,,,,,,,,,,,,,
Paper Goods,Cocktail Stirrers,,5,Performance,Dry Storage,"Mon, Thur",3,No,,,,,,,,,,,,,,
Paper Goods,Straws,"7.75""",5,Performance,Dry Storage,"Mon, Thur",3,No,,,,,,,,,,,,,,
Paper Goods,Beverage Napkins,,6,Performance,Dry Storage,"Mon, Thur",4,No,,,,,,,,,,,,,,
Prep,Coco Lopez,15oz,5,Breakthru,Dry Storage,Wed,6,Yes,,,,,,,,,,,,,,
Prep,Turbinado Sugar,Sugar In The Raw,5,Performance,Dry Storage,Tue,4,No,,,,,,,,,,,,,,
Red Wine,Real Sangria,,51,Southern,Walk-In,Mon,,No,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Banshee,22,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Pinot Noir,Davis Bynum,9,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Red Blend,Harvey & Harriet,7,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Red Blend,Prisoner,8,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
Red Wine,Cabernet,Seaglass,15,Southern,Wine Wall,Mon,,No,,,,,,,,,,,,,,
